OBJECTID,Name,X,Y
1,Au Parc,-9.366766667,46.31756667
2,Anse Malabar,-9.364016667,46.38746667
3,Anse Var,-9.372316667,46.21133333
4,between Sites 2&3,-9.3665,46.33213333
5,NW,-9.375866667,46.20783333
6,Polymnie,-9.366683333,46.25433333
7,Houareau,-9.3701,46.43346667
8,Site 1,-9.401533333,46.20101667
9,Au Parc,-9.367066667,46.31391667
10,Anse Malabar,-9.365116667,46.38325
11,between Sites 2&3,-9.367233333,46.32896667
12,NW,-9.373383333,46.21211667
13,Polymnie,-9.3677,46.24796667
14,Houareau,-9.369583333,46.42548333
