OBJECTID,Name,X,Y,locality,coordinateUncertaintyInMeters
1,AB,-3.8736051,-33.8049736,Abrolhos,50
2,A,-3.8746674,-33.8037568,Ancoras,50
3,BF,-3.8604327,-33.8190278,Barreta Falsa,50
4,BR,-3.8601595,-33.8011102,Barretao e adjacencias,200
5,B,-3.859765,-33.818176,Barretinha,50
6,C,-3.8668368,-33.817233,Cemiterio,100
7,CZ,-3.8657745,-33.8191495,Cemiteriozinho,50
8,D,-3.8628305,-33.8179327,Donzelinha,50
9,F1,-3.8575008,-33.8171941,Farol 1,50
10,F2,-3.8564324,-33.8166295,Farol 2,50
11,G,-3.862011,-33.8188453,Garoupinha,50
12,M,-3.869447,-33.8181456,Mapas,50
13,N,-3.8549949,-33.8120932,Naufragio,50
14,NV,-3.8556165,-33.8079852,Nove,50
15,PC,-3.8726339,-33.8126091,Podes Cre,50
16,P,-3.8723304,-33.8057949,Porites,50
17,PN,-3.8555388,-33.8097958,Proximo aos nove,50
18,PA,-3.8736658,-33.8027833,Proximo as Ancoras,50
19,R,-3.8685365,-33.7919841,Rocas,100
20,S,-3.8748495,-33.8095367,Salao,50
21,SZ,-3.8753958,-33.8089282,Salaozinho,50
22,T,-3.8727553,-33.8093237,Tartarugas,50
23,Z,-3.8725732,-33.7984636,Zulu,50
