Famille Espéce,Unnamed: 1,Unnamed: 2,Unnamed: 3
HEXANCHIDAE,,,
"Hexanchus griseus (Bonnaterre, 1788)",,,
SCYLIORHINIDAE,,,
"Seyliorhinus canicula (Linnaeus, 1758)",,,
"S. stellaris (Linnaeus, 1758)",,,
CARCHARINIDAE,,,
"Carcharhinus plumbeus (Nardo, 1827)",,,
‘TRIAKIDAE,,,
"Galeorhinus galeus (Linnaeus, 1758)",,,
"Mustelus mustelus (Linnaeus, 1758)",,,
OXYNOTIDAE,,,
"Oxynotus centrina (Linnaeus, 1758)",,,
SQUALIDAE,,,
"Squalus acanthias Linnaeus, 1758",,,
SQUATINIDAE,,,
"Squatina squatina (Linnaeus, 1758)",,,
RHINOBATIDAE,,,
"Rhinobatos rhinobatos (Linnaeus, 1758)",,,
TORPEDINIDAE,,,
"Torpedo torpedo (Linnaeus, 1758)",,,
RAJIDAE,,,
"Raja alba Lacepéde, 1803",,,
"R. clavata Linnaeus, 1758",,,
DASYATIDAE,,,
"Dasyatis pastinaca (Linnaeus, 1758)",,,
MYLIOBATIDAE,,,
"Myliobatis aquila (Linnaeus, 1758)",,,
CLUPEIDAE,,,
"Sardina pilchardus (Walbaum, 1792)",,,
"Sardinella aurita Valenciennes, 1847",,,
"Sprattus sprattus (Linnaeus, 1758)",,,
"""ENGRAULIDAE",,,
"Engraulis encrasicolus (Linnaeus, 1758)",,,
ARGENTINIDAE,,,
"Argentina sphyraena (Linnaeus, 1758)",,,
SYNODONTIDAE,,,
"Synodus saurus (Linnaeus, 1758)",,,
ANGUILLIDAE,,,
"Anguilla anguilla (Linnaeus, 1758)",,,
MURAENIDAE,,,
"Gymnothorax unicolor (Delaroche,",1809),,
"Muraena helena Linnaeus, 1758",,,
CONGRIDAE,,,
"Ariosoma balearicum (Delaroche,",1809),,
"Conger conger (Linnaeus, 1758)",,,
BELONIDAE,,,
"Belone belone (Linnaeus, 1761)",,,
SCOMBERESOCIDAE,,,
"Scomberesox saurus (Walbaum, 1792)",,,
EXOCOETIDAE,,,
"Cheilopogon heterurus (Rafinesque,",1810),,
(CYPRINODONTIDAE,,,
"Aphanius fasciatus Nardo, 1827",,,
MERLUCCIIDAE,,,
"Merluccius merluccius (Linnaeus,",1758),,
GADIDAE,,,
"Gaidropsarus mediterraneus (Linnaeus,",1758),,
"Micromesistius poutassou (Risso,",1826),,
"Phycis blennoides (Briinnich, 1768)",,,
"P. phycis (Linnaeus, 1766)",,,
"Trisopterus minutus (Linnaeus, 1758)",,,
ZEIDAE,,,
"Zeus faber Linnaeus, 1758",,,
"SERRANIDAE,",,,
"Anthias anthias (Linnaeus, 1758)",,,
"Callanthias ruber (Rafinesque, 1810)",,,
"Epinephelus alexandrinus (Valenciennes,",,1828),
"E. caninus (Valenciennes, 1843)",,,
"E. guaza (Linnaeus, 1758)",,,
"Polyprion americanus (Schneider,",1801),,
"S. cabrilla (Linnaeus, 1758)",,,
"S. hepatus (Linnaeus, 1758)",,,
"S. scriba (Linnaeus, 1758)",,,
MORONIDAE,,,
"Dicentrarchus labrax (Linnaeus,",1758),,
"APOGONIDAE,",,,
"Apogon imberbis (Linnaeus, 1758)",,,
"CARANGIDAE,",,,
"Naucrates ductor (Linnaeus, 1758)",,,
"Seriola dumerili (Risso, 1810)",,,
"Trachurus trachurus (Linnaeus, 1758)",,,
"T, mediterraneus (Steindachner,",1868),,
SCIAENIDAE,,,
"Sciaena umbra Linnaeus, 1758",,,
"Umbrina cirrosa (Linnaeus, 1758)",,,
MULLIDAE,,,
"Mullus barbatus Linnaeus, 1758",,,
"M. surmuletus Linnaeus, 1758",,,
SPARIDAE,,,
"Boops boops (Linnaeus, 1758)",,,
"Dentex dentex (Linnaeus, 1758)",,,
"Diplodus annularis (Linnaeus,",,1758),
"D. puntazzo (Cetti, 1777)",,,
"D, sargus (Linnaeus, 1758)",,,
"D. vulgaris (G. St Hilaire, 1817)",,,
"Lithognathus mormyrus (Linnaeus,",,1758),
"Oblada melanura (Linnaeus, 1758)",,,
"Pagellus acarne (Risso, 1826)",,,
"P. bogaraveo (Briinnich, 1768)",,,
"P. erythrinus (Linnaeus, 1758)",,,
"Pagrus pagrus (Linnaeus, 1758)",,,
"Sarpa salpa (Linnaeus, 1758)",,,
"Sparus aurata Linnaeus, 1758",,,
"Spondyliosoma cantharus (Linnaeus,",,1758),
CENTRACANTHIDAE,,,
"Spicara flexuosa Rafinesque, 1810",,*,
"S. maena (Linnaeus, 1758)",,,
"S. smaris (Linnaeus, 1758)",,,
POMACENTRIDAE,,,
"Chromis chromis (Linnaeus, 1758)",,,
LABRIDAE,,,
"Coris julis (Linnaeus, 1758)",,,
"Labrus bimaculatus Linnaeus, 1758",,,
"L, merula Linnaeus, 1758",,,
"L. viridis Linnaeus, 1758",,,
"Symphodus cinereus (Bonnaterre,",,1788),
"S. doderleini Jordan, 1891",,,
"S. mediterraneus (Linnaeus, 1758)",,,
"$. melanocercus (Risso, 1810)",,,
"S. ocellatus (Forsskal, 1775)",,,
"S. roissali (Risso, 1810)",,,
"$. rostratus (Bloch, 1797)",,,
"S. tinca (Linnaeus, 1758)",,,
"Thalassoma pavo (Linnaeus, 1758)",,,
TRACHINIDAE,,,
"Trachinus araneus Cuvier, 1829",,,
"Trachinus draco Linnaeus, 1758",,,
URANOSCOPIDAE,,,
"Uranoscopus scaber Linnaeus, 1758",,,
SCOMBRIDAE,,,
"Auxis rochei (Risso, 1810)",,,
"Euthynnus alletteratus (Rafinesque,",,1810),
"Sarda sarda (Bloch, 1793)",,,
"Scomber scombrus Linnaeus, 1758",,,
GOBIIDAE,,,
"Gobius auratus Risso, 1810",,,
"G. cobitis Pallas, 1811",,,
"G. niger Linnaeus, 1758",,,
"G. paganellus Linnaeus, 1758",,,
"Thorogobius ephippiatus (Lowe,",,1839),
SOLEIDAE,,,
"Microchirus ocellatus (Linnaeus,",,1758),
"Solea vulgaris Quensel, 1806",,,
MOLIDAE,,,
"Mola mola (Linnaeus, 1758)",,,
LOPHIIDAE,,,
Lophius sp. **,,,
BLENNIIDAE,,,
"Blennius ocellaris Linnaeus,",1758,,
"Coryphoblennius galerita (Linnaeus,",,,1758)
"Lipophrys nigriceps (Vinciguerza,",,,1883)
"L. pavo (Risso, 1810)",,,
"Parablennius gattorugine (Brinnich,",,,
"P. incognitus (Bath, 1968)",,,
"P. rouxi (Cocco, 1833)",,,
"P. sanguinolentus (Pallas,",1811),,
"P. zvonimiri (Kolombatovic,",1892),,
TRIPTERYGIIDAE,,,
Tripterygion tripteronotus,"(Risso,",,1810)
CARAPIDAE,,,
"Carapus acus (Briinnich, 1768)",,,
MUGILIDAE,,,
"Liza aurata (Risso, 1810)",,,
"L. ramada (Risso, 1826)",,,
ATHERINIDAE,,,
"Atherina boyeri Risso, 1810",,,
"A. hepsetus Linnaeus, 1758",,,
SCORPAENIDAE,,,
"Scorpaena notata Rafinesque,",1810,,
"S. porcus Linnaeus, 1758",,,
"S. scrofa Linnaeus, 1758",,,
TRIGLIDAE,,,
"Trigla lucerna Linnaeus, 1758",,,
"rT. lyra Linnaeus, 1758",,,
BOTHIDAE,,,
"Bothus podas (Delaroche, 1809)",,,
