"Galeorhinus galeus Linné, 1758"
"Myliobatis goodei Garman, 1885"
"Conger orbignyanus Valenciennes, 1847"
"Salilota australis Günter, 1878"
"Raneya brasiliensis (Kaup, 1856)"
"Porichthys porosissimus (Valenciennes, 1837)"
"Triathalassothia argentina Berg, 1897"
"Sebastes oculatus Cuvier, 1833"
"Congiopodus peruvianus (Cuvier, 1829)"
"Agonopsis chiloensis (Jenyns, 1842)"
"Dules auriga (Cuvier, 1829)"
"Mycteroperca marginata (Lowe, 1834)"
"Seriola lalandi Valenciennes, 1833"
"Diplodus argenteus (Valenciennes, 1830)"
"Pagrus pagrus Linné, 1758"
"Nemadactylus bergi (Norman, 1937)"
"Bovichtus argentinus MacDonagh, 1931"
"Cottoperca gobio (Günther, 1861)"
"Eleginops maclovinus (Valenciennes, 1830)"
Patagonotothen brevicauda (Lönnberg 1905)
"Patagonotothen cornucola (Richardson, 1844)"
"Patagonotothen sima (Richardson, 1844)"
"Pinguipes brasilianus Cuvier, 1829"
"Pseudopercis numida Miranda-Ribeiro, 1903"
"Pseudopercis semifasciata (Cuvier, 1829)"
"Ribeiroclinus eigenmanni (Jordan, 1888)"
"Helcogrammoides cunninghami (Smith, 1898)"
"Paralichthys patagonicus Jordan, 1889"
"Acanthistius patachonicus (Jenyns, 1842)"
